Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-12080,3/31/16,11:58 PM,March,Thursday,NOISE,LB519,BPD,No report
B16-12079,3/31/16,11:55 PM,March,Thursday,TRAFFIC STOP,LIU14,BPD,No report
B16-12078,3/31/16,11:39 PM,March,Thursday,VEH THEFT NP,LB221,BPD,Report
B16-12077,3/31/16,11:39 PM,March,Thursday,TRAFFIC STOP,LMS29,BPD,Report
B16-12076,3/31/16,11:35 PM,March,Thursday,WEAPONS IP,LB513,BPD,No report
B16-12075,3/31/16,11:35 PM,March,Thursday,TRAFFIC STOP,LB102,BPD,No report
B16-12074,3/31/16,11:34 PM,March,Thursday,TRAFFIC STOP,LB301,BPD,No report
B16-12073,3/31/16,11:31 PM,March,Thursday,TRAFFIC STOP,LB427,BPD,No report
B16-12072,3/31/16,11:28 PM,March,Thursday,TRAFFIC STOP,LIU13,BPD,No report
B16-12070,3/31/16,11:22 PM,March,Thursday,TRAFFIC STOP,LB411,BPD,No report
B16-12069,3/31/16,11:20 PM,March,Thursday,TRAFFIC STOP,LB408,BPD,No report
B16-12068,3/31/16,11:20 PM,March,Thursday,TRAFFIC STOP,LB517,BPD,No report
B16-12067,3/31/16,11:07 PM,March,Thursday,SUSP ACT IP,LB512,BPD,No report
B16-12066,3/31/16,11:06 PM,March,Thursday,TRAFFIC STOP,LB301,BPD,No report
B16-12071,3/31/16,11:02 PM,March,Thursday,NOISE,LB213,BPD,No report
B16-12064,3/31/16,11:01 PM,March,Thursday,TRAFFIC STOP,LB305,BPD,No report
B16-12065,3/31/16,10:57 PM,March,Thursday,NOISE,LB102,BPD,No report
B16-12062,3/31/16,10:49 PM,March,Thursday,TRAFFIC STOP,LB304,BPD,No report
B16-12061,3/31/16,10:44 PM,March,Thursday,TRAFFIC STOP,LB304,BPD,No report
B16-12059,3/31/16,10:36 PM,March,Thursday,TRAFFIC STOP,LB101,BPD,No report
B16-12058,3/31/16,10:34 PM,March,Thursday,HARASSMENT NP,LB213,BPD,No report
B16-12060,3/31/16,10:31 PM,March,Thursday,NOISE,LB213,BPD,No report
B16-12056,3/31/16,10:29 PM,March,Thursday,TRAFFIC STOP,LB101,BPD,No report
B16-12057,3/31/16,10:27 PM,March,Thursday,WELFARE CHK IP,LB409,BPD,No report
B16-12054,3/31/16,10:26 PM,March,Thursday,TRAFFIC STOP,LB312,BPD,No report
B16-12055,3/31/16,10:26 PM,March,Thursday,ALARM,LB403,BPD,No report
B16-12053,3/31/16,10:16 PM,March,Thursday,ASSIGNED DETAIL,LB410,BPD,No report
B16-12063,3/31/16,10:15 PM,March,Thursday,VANDALISM NP,LB423,BPD,Report
B16-12052,3/31/16,10:07 PM,March,Thursday,WELFARE CHK IP,LB316,BPD,No report
B16-12051,3/31/16,10:04 PM,March,Thursday,FOLLOW UP,LB409,BPD,No report
B16-12050,3/31/16,9:43 PM,March,Thursday,CIVIL NP,LB518,BPD,No report
B16-12049,3/31/16,9:41 PM,March,Thursday,ANIMAL,LB429,BPD,No report
B16-12048,3/31/16,9:16 PM,March,Thursday,THEFT NP,LB328,BPD,Report
B16-12046,3/31/16,8:52 PM,March,Thursday,WARRANT SERVICE,LB212,BPD,Report
B16-12047,3/31/16,8:52 PM,March,Thursday,DOMESTIC NP,LB213,BPD,Report
B16-12044,3/31/16,8:46 PM,March,Thursday,FODOR,LB424,BPD,No report
B16-12045,3/31/16,8:44 PM,March,Thursday,FIREWORKS,LB302,BPD,No report
B16-12043,3/31/16,8:30 PM,March,Thursday,HARASSMENT NP,LB104,BPD,Report
B16-12042,3/31/16,8:20 PM,March,Thursday,ALARM,LB406,BPD,No report
B16-12041,3/31/16,8:16 PM,March,Thursday,SUSP ACT IP,LB315,BPD,No report
B16-12040,3/31/16,8:00 PM,March,Thursday,ROV IP,LB326,BPD,No report
B16-12039,3/31/16,7:56 PM,March,Thursday,TRAFFIC STOP,LMS29,BPD,Report
B16-12038,3/31/16,7:31 PM,March,Thursday,PANHANDLING,LB101,BPD,No report
B16-12036,3/31/16,7:14 PM,March,Thursday,HARASSMENT IP,LB102,BPD,No report
B16-12037,3/31/16,7:07 PM,March,Thursday,DRUGS IP,LB402,BPD,No report
B16-12034,3/31/16,6:56 PM,March,Thursday,DISTURBANCE IP,LB421,BPD,No report
B16-12032,3/31/16,6:43 PM,March,Thursday,DISTURBANCE IP,LB104,BPD,No report
B16-12035,3/31/16,6:39 PM,March,Thursday,WEATHER ALERT,LB104,BPD,No report
B16-12033,3/31/16,6:22 PM,March,Thursday,ACCIDENT LSA NP,LB415,BPD,Report
B16-12026,3/31/16,5:54 PM,March,Thursday,FOLLOW UP,LB312,BPD,No report
B16-12027,3/31/16,5:48 PM,March,Thursday,ACCIDENT PD IP,LB215,BPD,No report
B16-12030,3/31/16,5:48 PM,March,Thursday,SERVICE IP,LB104,BPD,No report
B16-12025,3/31/16,5:39 PM,March,Thursday,WEAPONS IP,LB326,BPD,No report
B16-12024,3/31/16,5:31 PM,March,Thursday,ACCIDENT PI,LB328,BPD,Report
B16-12023,3/31/16,5:29 PM,March,Thursday,WELFARE CHK IP,LB314,BPD,No report
B16-12031,3/31/16,5:27 PM,March,Thursday,TRAFFIC HAZARD,LB518,BPD,No report
B16-12029,3/31/16,5:09 PM,March,Thursday,THEFT NP,LB102,BPD,Report
B16-12022,3/31/16,5:09 PM,March,Thursday,CIVIL NP,LB212,BPD,No report
B16-12021,3/31/16,5:06 PM,March,Thursday,VANDALISM NP,LB412,BPD,No report
B16-12028,3/31/16,5:04 PM,March,Thursday,HARASSMENT NP,LB219,BPD,Report
B16-12020,3/31/16,4:57 PM,March,Thursday,WARRANT SERVICE,LB306,BPD,No report
B16-12019,3/31/16,4:30 PM,March,Thursday,TRAFFIC STOP,LB409,BPD,No report
B16-12018,3/31/16,4:05 PM,March,Thursday,ACCIDENT PD IP,LB101,BPD,No report
B16-12017,3/31/16,3:57 PM,March,Thursday,ROV NP,LB424,BPD,Report
B16-12016,3/31/16,3:53 PM,March,Thursday,FOLLOW UP,LB336,BPD,No report
B16-12015,3/31/16,3:28 PM,March,Thursday,DISTURBANCE IP,LB517,BPD,No report
B16-12014,3/31/16,3:25 PM,March,Thursday,ASSIGNED DETAIL,LB104,BPD,No report
B16-12011,3/31/16,3:08 PM,March,Thursday,ACCIDENT PI,LB104,BPD,Report
B16-12013,3/31/16,3:08 PM,March,Thursday,PROPERTY,LB517,BPD,No report
B16-12012,3/31/16,2:59 PM,March,Thursday,TRAFFIC HAZARD,LB409,BPD,No report
B16-12010,3/31/16,2:54 PM,March,Thursday,PARKING,LB104,BPD,No report
B16-12009,3/31/16,2:40 PM,March,Thursday,THEFT NP,LB423,BPD,Report
B16-12007,3/31/16,2:33 PM,March,Thursday,ROV NP,LB104,BPD,No report
B16-12008,3/31/16,2:31 PM,March,Thursday,SUSP ACT NP,LB334,BPD,Report
B16-12005,3/31/16,2:20 PM,March,Thursday,FOLLOW UP,LB410,BPD,No report
B16-12006,3/31/16,2:17 PM,March,Thursday,TOW IN,LB102,BPD,Report
B16-12003,3/31/16,2:01 PM,March,Thursday,ACCIDENT PD IP,LB305,BPD,No report
B16-12004,3/31/16,2:00 PM,March,Thursday,ACCIDENT PD IP,LB103,BPD,No report
B16-12000,3/31/16,1:54 PM,March,Thursday,FOLLOW UP,LB104,BPD,No report
B16-12001,3/31/16,1:51 PM,March,Thursday,ACCIDENT LSA IP,LB409,BPD,Report
B16-11998,3/31/16,1:15 PM,March,Thursday,WELFARE CHK IP,LB102,BPD,No report
B16-11997,3/31/16,1:12 PM,March,Thursday,ACCIDENT LSA NP,LB410,BPD,Report
