Case Number,Day of the Week,Time of the Day,Nature of the Call
B16-12080,Thursday,NIGHT,NOISE
B16-12079,Thursday,NIGHT,TRAFFIC STOP
B16-12078,Thursday,NIGHT,VEH THEFT NP
B16-12077,Thursday,NIGHT,TRAFFIC STOP
B16-12076,Thursday,NIGHT,WEAPONS IP
B16-12075,Thursday,NIGHT,TRAFFIC STOP
B16-12074,Thursday,NIGHT,TRAFFIC STOP
B16-12073,Thursday,NIGHT,TRAFFIC STOP
B16-12072,Thursday,NIGHT,TRAFFIC STOP
B16-12070,Thursday,NIGHT,TRAFFIC STOP
B16-12069,Thursday,NIGHT,TRAFFIC STOP
B16-12068,Thursday,NIGHT,TRAFFIC STOP
B16-12067,Thursday,NIGHT,SUSP ACT IP
B16-12066,Thursday,NIGHT,TRAFFIC STOP
B16-12071,Thursday,NIGHT,NOISE
B16-12064,Thursday,NIGHT,TRAFFIC STOP
B16-12065,Thursday,NIGHT,NOISE
B16-12062,Thursday,NIGHT,TRAFFIC STOP
B16-12061,Thursday,NIGHT,TRAFFIC STOP
B16-12059,Thursday,NIGHT,TRAFFIC STOP
B16-12058,Thursday,NIGHT,HARASSMENT NP
B16-12060,Thursday,NIGHT,NOISE
B16-12056,Thursday,NIGHT,TRAFFIC STOP
B16-12057,Thursday,NIGHT,WELFARE CHK IP
B16-12054,Thursday,NIGHT,TRAFFIC STOP
B16-12055,Thursday,NIGHT,ALARM
B16-12053,Thursday,NIGHT,ASSIGNED DETAIL
B16-12063,Thursday,NIGHT,VANDALISM NP
B16-12052,Thursday,NIGHT,WELFARE CHK IP
B16-12051,Thursday,NIGHT,FOLLOW UP
B16-12050,Thursday,NIGHT,CIVIL NP
B16-12049,Thursday,NIGHT,ANIMAL
B16-12048,Thursday,NIGHT,THEFT NP
B16-12046,Thursday,NIGHT,WARRANT SERVICE
B16-12047,Thursday,NIGHT,DOMESTIC NP
B16-12044,Thursday,NIGHT,FODOR
B16-12045,Thursday,NIGHT,FIREWORKS
B16-12043,Thursday,NIGHT,HARASSMENT NP
B16-12042,Thursday,NIGHT,ALARM
B16-12041,Thursday,NIGHT,SUSP ACT IP
B16-12040,Thursday,NIGHT,ROV IP
B16-12039,Thursday,DAY,TRAFFIC STOP
B16-12038,Thursday,DAY,PANHANDLING
B16-12036,Thursday,DAY,HARASSMENT IP
B16-12037,Thursday,DAY,DRUGS IP
B16-12034,Thursday,DAY,DISTURBANCE IP
B16-12032,Thursday,DAY,DISTURBANCE IP
B16-12035,Thursday,DAY,WEATHER ALERT
B16-12033,Thursday,DAY,ACCIDENT LSA NP
B16-12026,Thursday,DAY,FOLLOW UP
B16-12027,Thursday,DAY,ACCIDENT PD IP
B16-12030,Thursday,DAY,SERVICE IP
B16-12025,Thursday,DAY,WEAPONS IP
B16-12024,Thursday,DAY,ACCIDENT PI
B16-12023,Thursday,DAY,WELFARE CHK IP
B16-12031,Thursday,DAY,TRAFFIC HAZARD
B16-12029,Thursday,DAY,THEFT NP
B16-12022,Thursday,DAY,CIVIL NP
B16-12021,Thursday,DAY,VANDALISM NP
B16-12028,Thursday,DAY,HARASSMENT NP
B16-12020,Thursday,DAY,WARRANT SERVICE
B16-12019,Thursday,DAY,TRAFFIC STOP
B16-12018,Thursday,DAY,ACCIDENT PD IP
B16-12017,Thursday,DAY,ROV NP
B16-12016,Thursday,DAY,FOLLOW UP
B16-12015,Thursday,DAY,DISTURBANCE IP
B16-12014,Thursday,DAY,ASSIGNED DETAIL
B16-12011,Thursday,DAY,ACCIDENT PI
B16-12013,Thursday,DAY,PROPERTY
B16-12012,Thursday,DAY,TRAFFIC HAZARD
B16-12010,Thursday,DAY,PARKING
B16-12009,Thursday,DAY,THEFT NP
B16-12007,Thursday,DAY,ROV NP
B16-12008,Thursday,DAY,SUSP ACT NP
B16-12005,Thursday,DAY,FOLLOW UP
B16-12006,Thursday,DAY,TOW IN
B16-12003,Thursday,DAY,ACCIDENT PD IP
B16-12004,Thursday,DAY,ACCIDENT PD IP
B16-12000,Thursday,DAY,FOLLOW UP
B16-12001,Thursday,DAY,ACCIDENT LSA IP
B16-11998,Thursday,DAY,WELFARE CHK IP
B16-11997,Thursday,DAY,ACCIDENT LSA NP
B16-11996,Thursday,DAY,CIVIL NP
B16-11995,Thursday,DAY,PROPERTY
