Event Details,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,Suspect Demographics:,,,,,,,,,,
Case Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic"," Asian/Pacific Island, Hispanic"
B16-00007,4,Drunk,Officer Report,1/1/2016,1:23,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,22,1,,,,,,,
B16-00197,3,Burglary,Officer Report,1/8/2016,14:40,No,No,Yes,No,No,No,Normal,No,No,Arrestee,No,No,,1,35,,,1,,,,,
B16-00250,5,Suspicious Activity,Officer Report,1/3/2016,0:26,No,No,Yes,No,No,Yes,Normal,No,No,Juvenile Referral,No,No,,1,15,,,1,,,,,
B16-00256,1,Assault,911,1/3/2016,2:45,Yes,No,No,No,No,Yes,Intoxicated,No,No,"Arrestee, Arrestee",No,Yes,1,1,"32,33",2,,,,,,,
B16-00743,3,Traffic Stop,Officer Report,1/7/2016,21:00,No,No,Yes,No,No,Yes,Normal,Yes,No,"Arrestee, Arrestee",No,No,1,1,"24,42",2,,,,,,,
B16-01079,1,Robbery,Telephone,1/9/2016,12:06,Yes,No,Yes,No,No,No,Unknown,Yes,No,Arrestee,No,No,,1,43,1,,,,,,,
B15-53281,4,Burglary,Telephone,1/13/2016,9:21,No,No,Yes,No,No,No,Normal,No,No,Mentioned,No,No,,1,52,1,,,,,,,
B16-01697,4,Suspicious Activity,911,1/14/2016,13:45,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,29,1,,,,,,,
B16-02052,4,Domestic,911,1/16/2016,15:01,Yes,No,No,No,No,Yes,Normal,No,No,Arrestee,No,No,,1,22,1,,,,,,,
B16-02916,4,Burglary,911,1/23/2016,3:06,No,No,Yes,No,No,No,Normal,Yes,No,"Arrestee, Mentioned",No,No,,2,"23,29",,,2,,,,,
B16-03085,2,Disturbance,911,1/24/2016,7:45,Yes,No,No,No,No,No,Mentally Disturbed,Yes,Yes,Mentioned,No,Yes,1,,27,1,,,,,,,
B16-03466,3,Welfare Check,Telephone,1/27/2016,3:02,Yes,No,Yes,No,No,No,Intoxicated,Yes,No,Arrestee,No,No,,1,54,,,1,,,,,
B16-03472,3,Robbery,911,1/28/2016,23:50,No,No,Yes,No,No,No,Normal,Yes,No,Juvenile Referral,No,No,,1,17,,,1,,,,,
B16-03523,5,Panhandling,Telephone,1/27/2016,14:24,Yes,No,No,No,No,No,Intoxicated,No,No,Complainant,No,No,1,,30,1,,,,,,,
B16-03605,1,Alarm,Telephone,1/28/2016,5:08,Yes,No,No,No,No,No,Intoxicated,Yes,Yes,Juvenile Referral,No,No,,1,17,1,,,,,,,
B16-03728,4,Service,Officer Report,1/29/2016,23:46,No,No,Yes,No,No,No,Normal,Yes,No,Juvenile Referral,No,No,,1,17,,,1,,,,,
B16-04308,5,Warrant Service,Telephone,2/1/2016,22:13,No,Yes,Yes,No,No,Yes,Intoxicated,Yes,Yes,"Arrestee, Arrestee",No,No,,2,"21,25",,,2,,,,,
B16-05168,3,Theft,911,2/9/2016,17:10,Yes,No,No,No,No,No,Normal,No,No,Juvenile Referral,No,No,,1,16,,,1,,,,,
B16-05204,3,Alarm,Telephone,2/9/2016,4:00,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,42,1,,,,,,,
B16-05391,3,Welfare Check,Telephone,2/11/2016,21:05,Yes,No,No,No,No,No,Intoxicated,No,No,Mentioned,No,No,,1,48,1,,,,,,,
B16-05641,1,Welfare Check,Telephone,2/13/2016,20:00,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,21,1,,,,,,,
B16-05881,3,Theft,911,2/15/2016,18:14,Yes,No,No,No,No,Yes,Normal,No,No,Arrestee,No,No,,1,23,,,1,,,,,
B16-06101,3,Theft,911,2/17/2016,15:19,Yes,No,No,No,No,Yes,Normal,No,Yes,Mentioned,No,No,,1,23,1,,,,,,,
B16-06394,1,Welfare Check,911,2/19/2016,18:30,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,,1,26,1,,,,,,,
B16-06582,MCSO,Fight,Telephone,2/20/2016,20:00,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,53,1,,,,,,,
B16-07108,4,Mental Health,Telephone,2/24/2016,14:13,Yes,No,No,No,No,Yes,Mentally Disturbed,Yes,No,Arrestee,No,No,,1,40,,,1,,,,,
B16-07896,5,Theft,911,3/1/2016,16:10,No,No,Yes,No,No,No,Normal,No,No,Arrestee,No,No,1,1,45,2,,,,,,,
B16-07951,5,Domestic,911,3/2/2016,0:46,No,No,Yes,No,No,No,Intoxicated,Yes,No,Arrestee,No,No,,1,42,1,,,,,,,
B16-08092,4,Domestic,911,3/3/2016,0:26,Yes,No,Yes,No,No,No,Intoxicated,Yes,No,Arrestee,No,No,,1,37,1,,,,,,,
B16-08407,5,Welfare Check,Telephone,3/5/2016,0:40,No,No,Yes,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,39,1,,,,,,,
B16-08424,1,Disturbance,911,3/5/2016,3:20,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,27,,,1,,,,,
B16-08857,5,Trespass,911,3/8/2016,6:56,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,1,,37,1,,,,,,,
B16-09294,5,Weapons,911,3/10/2016,21:25,No,No,Yes,No,No,No,Normal,Yes,No,Involved,No,No,,1,43,1,,,,,,,
B16-09489,1,Service,911,3/12/2016,3:42,Yes,No,No,No,No,No,Unknown,No,No,Arrestee,No,Yes,,1,39,1,,,,,,,
B16-09562,2,Disturbance,Telephone,3/12/2016,16:59,Yes,No,No,No,No,Yes,Intoxicated,No,No,Arrestee,Yes,Yes,,1,30,,,1,,,,,
B16-09618,2,Fight,911,3/13/2016,0:39,Yes,No,Yes,No,No,No,Intoxicated,Yes,No,"Witness, Arrestee",No,No,,2,"41,24",2,,,,,,,
B16-09855,3,Service,911,3/27/2016,3:27,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,,1,21,1,,,,,,,
B16-09943,5,Welfare Check,Telephone,3/15/2016,18:05,Yes,No,No,No,No,No,Intoxicated,No,No,Involved,No,No,,1,45,1,,,,,,,
B16-10225,1,Suspicious Activity,Officer Report,3/18/2016,3:25,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,32,,,1,,,,,
B16-10369,5,Welfare Check,Telephone,3/20/2016,2:44,No,No,Yes,No,No,No,Intoxicated,Yes,No,Suspect,No,No,,1,33,1,,,,,,,
B16-10536,4,Robbery,911,3/20/2016,16:00,No,No,Yes,No,No,Yes,Normal,Yes,No,Arrestee,No,No,1,,25,1,,,,,,,
B16-10688,3,Suspicious Activity,911,3/21/2016,19:40,Yes,No,No,No,No,No,Intoxicated/Mentally Disturbed,No,No,Arrestee,No,No,,1,27,1,,,,,,,
B16-10875,4,Burglary,Telephone,3/23/2016,12:18,Yes,No,No,No,No,Yes,Normal,No,Yes,Arrestee,No,No,,1,34,1,,,,,,,
B16-11478,MCSO,Follow Up,Officer Report,3/27/2016,3:06,No,No,Yes,No,No,Yes,Normal,No,No,Mentioned,No,No,,1,16,1,,,,,,,
B16-11533,3,Weapons,911,3/28/2016,18:06,Yes,No,Yes,No,No,No,Normal,Yes,No,Arrestee/Suspect,No,No,,1,48,,,1,,,,,
B16-11902,1,Welfare Check,911,3/30/2016,18:09,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,1,,29,,,1,,,,,
