Event Details:,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,Suspect Demographics:,,,,,,,,,,
Case Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic","Asian/Pacific Island, Hispanic"
B16-12221,4,Burglary,911,4/1/16,20:51,No,No,Yes,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,33,1,,,,,,,
B16-12238,1,Warrant Service,Telephone,4/1/16,23:09,Yes,Yes,Yes,No,No,No,Normal,Yes,No,"Arrestee, Arrestee",No,No,1,1,"25,26",2,,,,,,,
B16-12261,3,Domestic,911,4/2/16,1:22,Yes,No,No,No,No,No,Intoxicated/Mentally Disturbed,No,No,Arrestee,No,No,,1,25,,,1,,,,,
B16-12310,1,Welfare Check,Telephone,4/2/16,13:14,Yes,Yes,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,,1,53,1,,,,,,,
B16-13009,5,Domestic,Telephone,4/7/16,18:44,No,No,Yes,No,No,No,Intoxicated/Mentally Disturbed,Yes,No,Arrestee/Suspect,No,No,,1,35,1,,,,,,,
B16-13450,3,Disturbance,911,4/10/16,21:05,Yes,Yes,No,No,No,No,Intoxicated,No,Yes,Arrestee,Yes,Yes,,1,20,,,,,,,1,
B16-14297,1,Drunk,Officer Report,4/16/16,2:19,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,42,,,1,,,,,
B16-14540,1,Drunk,Officer Report,4/17/16,2:09,Yes,Yes,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,22,1,,,,,,,
B16-14540,1,Drunk,Officer Report,4/17/16,2:09,Yes,Yes,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,22,1,,,,,,,
B16-14701,2,Welfare Check,911,4/18/16,10:00,Yes,No,No,No,No,No,Intoxicated/Mentally Disturbed,No,No,Juvenile Referral,Yes,No,1,,16,1,,,,,,,
B16-14763,4,Drugs,Telephone,4/18/16,15:00,Yes,No,No,No,No,No,Normal,No,Yes,Arrestee,No,No,,1,27,1,,,,,,,
B16-14831,1,Disturbance,911,4/18/16,0:45,Yes,No,No,No,No,Yes,Intoxicated,No,No,Arrestee,No,No,,1,23,1,,,,,,,
B16-14833,3,Weapons,911,4/19/16,2:15,No,No,Yes,No,No,No,Mentally Disturbed,Yes,No,Arrestee,No,No,1,,57,1,,,,,,,
B16-14965,4,Warrant Service,Officer Report,4/19/16,23:06,Yes,No,No,No,No,Yes,Intoxicated,No,Yes,Arrestee,No,No,,1,52,1,,,,,,,
B16-15191,5,Disturbance,911,4/21/16,18:05,Yes,Yes,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,21,,,1,,,,,
B16-15350,5,Suspicious Activity,Telephone,4/22/16,21:39,No,No,Yes,No,No,No,Unknown,Yes,No,Complainant,No,No,,1,47,1,,,,,,,
B16-15360,4,Suspicious Activity,Telephone,4/22/16,23:45,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,,1,25,,,1,,,,,
B16-15567,2,Suspicious Activity,911,4/24/16,4:08,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,20,1,,,,,,,
B16-15624,3,Welfare Check,Telephone,4/24/16,19:24,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,27,1,,,,,,,
B16-15786,5,Traffic Stop,Officer Report,4/26/16,0:26,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,,1,26,1,,,,,,,
B16-15796,3,Suspicious Activity,911,4/26/16,2:30,No,No,Yes,No,No,Yes,Normal,No,No,Arrestee,No,No,,1,24,1,,,,,,,
B16-15911,1,Welfare Check,Telephone,4/26/16,22:34,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,Yes,,2,23,,,,,,,1,
B16-16042,4,Disturbance,911,4/27/16,23:51,Yes,No,No,No,No,No,Unknown,No,No,Arrestee,No,No,,1,66,1,,,,,,,
B16-16111,MCSO,CIRT,Telephone,4/28/16,16:24,No,No,No,No,No,No,Unknown,Yes,No,"Arrestee, Involved, Arrestee",No,No,1,2,"20, 25, 26",3,,,,,,,
B16-16173,5,Robbery,Telephone,4/28/16,23:40,No,No,Yes,No,No,No,Normal,Yes,No,Mentioned,No,No,,1,40,,,1,,,,,
B16-16189,3,Theft,Telephone,4/29/16,3:15,No,No,Yes,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,23,1,,,,,,,
B16-16428,5,Fight,Telephone,4/30/16,19:40,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,Yes,No,,1,25,,,1,,,,,
B16-16495,3,Burglary,911,5/1/16,3:50,Yes,Yes,Yes,No,No,No,Normal,No,Yes,"Juvenile Referral, Juvenile Referral, Juvenile Referral, Juvenile Referral, Juvenile Referral Juvenile Referral",No,Yes,4,2,"16, 15, 15, 16, 16,16 ",2,1,,,,,,
B16-16522,2,Burglary,911,5/1/16,13:30,Yes,No,Yes,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,28,1,,,,,,,
B16-17062,2,Domestic,Telephone,5/5/16,3:27,Yes,No,No,No,No,No,Mentally Disturbed,Yes,No,Contact,No,No,1,,27,1,,,,,,,
B16-17064,5,Suspicious Activity,Telephone,5/5/16,4:30,Yes,No,No,No,No,Yes,Intoxicated,Yes,No,Arrestee,No,Yes,,1,48,1,,,,,,,
B16-17119,4,Disturbance,911,5/5/16,13:00,Yes,No,No,No,No,No,Intoxicated,Yes,No,Arrestee,No,No,,1,46,1,,,,,,,
B16-17295,4,Fight,911,5/6/16,14:40,Yes,Yes,No,No,No,No,Intoxicated,No,No,Arrestee,No,Yes,,1,27,1,,,,,,,
B16-17541,1,Welfare Check,Telephone,5/8/16,6:35,Yes,No,No,No,No,No,Intoxicated,No,No,Victim,No,No,,1,20,1,,,,,,,
B16-17555,3,Welfare Check,911,5/8/16,12:40,No,No,Yes,No,No,No,Normal,No,No,Victim,No,No,1,,21,1,,,,,,,
