Event Details:,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,,,,,,,,,,,
Event Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic","Asian/Pacific Islander, Hispanic"
B17-12043,1,DRUNK,TELEPHONE,4/1/2017,8:31,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,55,1,,,,,,,
B17-12212,4,WELFARE CHK,TELEPHONE,4/2/2017,19:39,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,33,1,,,,,,,
B17-12410,1,TRESPASS ,TELEPHONE,4/4/2017,8:30,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,27,1,,,,,,,
B17-13182,4,WARRANT SERVICE,OFFICER REPORT,4/9/2017,21:13,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B17-13208,5,SUSP ACT,911 LINE,4/10/2017,21:25,NO,YES,YES,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,YES,,1,22,1,,,,,,,
B17-13235,5,FIGHT ,911 LINE,4/10/2017,17:20,YES,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,19,1,,,,,,,
B17-13681,5,DOMESTIC ,911 LINE,4/12/2017,20:57,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B17-13642,5,FRAUD,WALK-IN ,4/13/2017,19:13,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,30,,,1,,,,,
B17-14165,2,DRUNK,TELEPHONE,4/16/2017,3:20,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,YES,NO,1,,21,1,,,,,,,
B17-14168,1,DISTURBANCE,OFFICER REPORT,4/16/2017,3:17,YES,NO,NO,NO,NO,YES,"INTOXICATED, INTOXICATED",NO,NO,"ARRESTEE, ARRESTEE",NO,NO,2,,"22, 21",1,,1,,,,,
B17-15850,5,WELFARE CHK ,911 LINE,4/25/17,13:01,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,ARRESTEE,YES,YES,1,,31,,,1,,,,,
B17-15893,4,THEFT IP,OFFICER REPORT,4/25/2017,17:06,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,YES,,1,47,1,,,,,,,
B17-16070,1,WELFARE CHECK IP,TELEPHONE,4/26/2017,17:44,YES,YES,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,1,,23,1,,,,,,,
B17-17216,5,DISTURBANCE,TELEPHONE,5/4/2017,17:47,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,YES,ARRESTEE,NO,NO,,1,25,1,,,,,,,
B17-18403,5,WELFARE CHK,911 LINE,5/12/2017,16:02,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,,1,30,1,,,,,,,
B17-19215,2,VEH THEFT NP ,TELEPHONE,5/18/2017,12:05,NO,YES,NO,NO,NO,NO,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B17-19316,3,WARRANT SERVICE,TELEPHONE,5/18/2017,23:54,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED ,NO,NO,1,,18,1,,,,,,,
B17-19854,1,WEAPONS IP,TELEPHONE,5/22/2017,21:15,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,25,,,1,,,,,
B17-19866,3,BURGLARY ,TELEPHONE,5/22/2017,20:19,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,39,1,,,,,,,
B17-19975,5,ACCIDENT LSA IP,911 LINE,5/23/2017,16:04,NO,NO,YES,NO,YES,NO,INTOXICATED,NO,YES,ARRESTEE,NO,YES,,1,69,1,,,,,,,
B17-20378,1,WELFARE CHK IP ,OFFICER REPORT,5/26/2017,11:22,YES,YES,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,56,,,1,,,,,
B17-20530,3,SUSP ACT IP,911 LINE,5/27/2017,13:12,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,,,,,
B17-20666,5,WEAPONS IP ,TELEPHONE,5/28/2017,13:44,NO,NO,YES,NO,NO,NO,"NORMAL, NORMAL",YES,NO,"ARRESTEE, MENTIONED",NO,NO,,1,"18, 19 ",,,2,,,,,
B17-20925,1,DISTURBANCE,TELEPHONE,5/30/2017,17:20,YES,NO,YES,NO,NO,YES,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,30,1,,,,,,,
B17-20961,2,WARRANT SERVICE,TELEPHONE,5/30/2017,22:10,NO,NO,YES,NO,NO,NO,"NORMAL, NORMAL, NORMAL",NO,NO,"ARRESTEE, MENTIONED, MENTIONED",NO,NO,1,2,"26, 22, 20",3,,,,,,,
B17-21384,4,WELFARE CHK ,911 LINE ,6/2/2017,16:47,YES,YES,NO,NO,NO,NO,INTOXICATED ,NO,YES,ARRESTEE,NO,NO,,1,35,1,,,,,,,
B17-21493,5,WARRANT SERVICE,911 LINE,6/3/2017,12:22,NO,YES,NO,NO,NO,YES,UNKNOWN,NO,YES,ARRESTEE,YES,NO,1,,29,,,1,,,,,
B17-21529,2,WEAPONS IP ,TELEPHONE,6/3/2017,18:14,NO,NO,YES,NO,NO,NO,NORMAL ,YES,NO,MENTIONED,NO,NO,1,,21,1,,,,,,,
B17-22575,1,SUSP ACT IP ,TELEPHONE,6/11/2017,11:01,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,,1,27,,,1,,,,,
