Event Detail:,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,Suspect Demographics:,,,,,,,,,,
Event Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic","Asian/Pacific Islander, Hispanic"
B17-40341,5,WEAPONS IP,TELEPHONE,10/1/17,1:34,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,INVOLVED PARTY,NO,NO,,1,43,1,,,,,,,
B17-40374,5,WEAPONS IP,TELEPHONE,10/1/17,10:15,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,SUSPECT,NO,NO,,1,32,1,,,,,,,
B17-40466,5,TRAFFIC STOP,OFFICER REPORT,10/2/17,1:36,NO,YES,YES,NO,NO,YES,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,17,,,1,,,,,
B17-40735,4,DOMESTIC IP,TELEPHONE,10/4/17,0:08,YES,NO,NO,NO,NO,YES,INTOXICATED,YES,YES,ARRESTEE,NO,NO,,1,31,1,,,,,,,
B17-40749,1,DRUNK,TELEPHONE,10/4/17,3:51,NO,YES,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B17-40823,3,DISTURBANCE,TELEPHONE,10/4/17,15:50,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,SUSPECT,NO,NO,,1,56,1,,,,,,,
B17-40921,1,DISTURBANCE,TELEPHONE,10/5/17,4:24,NO,YES,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,,1,,,,,,
B17-40951,1,TRESPASS,TELEPHONE,10/5/17,13:39,NO,YES,NO,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,,1,59,1,,,,,,,
B17-41142,2,DOMESTIC IP,TELEPHONE,10/6/17,21:22,NO,YES,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,24,,,1,,,,,
B17-41156,4,DOMESTIC IP,TELEPHONE,10/6/17,23:16,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,YES,ARRESTEE,NO,NO,,1,41,1,,,,,,,
B17-41160,4,SUSP ACT IP,OFFICER REPORT,10/6/17,23:49,NO,YES,YES,NO,NO,YES,INTOXICATED,NO,NO,SUSPECT,NO,NO,,1,41,1,,,,,,,
B17-41667,4,WEAPONS IP,TELEPHONE,10/10/17,20:25,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,1,,27,,,1,,,,,
B17-41936,5,SERVICE IP,TELEPHONE,10/12/17,17:06,YES,YES,NO,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,NO,,1,18,1,,,,,,,
B17-42124,1,DISTURBANCE IP ,911 LINE,10/13/17,19:47,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,49,1,,,,,,,
B17-42307,5,DOMESTIC ,TELEPHONE,10/14/17,18:07,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,JUVENILE REFERRAL,NO,NO,,1,11,1,,,,,,,
B17-42396,4,DOMESTIC IP,911 LINE,10/15/17,2:08,NO,YES,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,25,,,1,,,,,
B17-42615,4,FIGHT,OFFICER REPORT,10/16/17,17:37,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,32,,,1,,,,,
B17-42814,4,TRAFFIC HAZARD,OFFICER REPORT,10/18/17,2:36,NO,YES,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,20,1,,,,,,,
B17-42816,1,DISTURBANCE IP,911 LINE,10/18/17,2:39,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,24,,,1,,,,,
B17-42926,4,DISTURBANCE IP ,TELEPHONE,10/18/17,18:59,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,18,1,,,,,,,
B17-43044,4,WELFARE CHK IP,911 LINE,10/19/17,14:04,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1,,53,1,,,,,,,
B17-43125,4,DISTURBANCE IP,TELEPHONE,10/20/17,0:02,NO,YES,NO,NO,NO,YES,INTOXICATED,NO,YES,ARRESTEE,NO,YES,1,,19,1,,,,,,,
B17-43135,1,BURGLARY NP,TELEPHONE,10/20/17,1:39,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,16,1,,,,,,,
B17-43383,4,SERVICE IP,TELEPHONE,10/21/17,18:16,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,49,1,,,,,,,
B17-43393,3,WELFARE CHK IP,TELEPHONE,10/21/17,20:02,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,49,1,,,,,,,
B17-43450,3,DISTURBANCE IP,TELEPHONE,10/22/17,2:23,NO,YES,YES,NO,NO,YES,"NORMAL, NORMAL, NORMAL",NO,NO,"ARRESTEE, ARRESTEE, MENTIONED",NO,NO,,1,"41, 39, 36",3,,,,,,,
B17-43589,4,TRESPASS IP,911 LINE,10/23/17,3:17,NO,YES,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B17-43801,5,DISTURBANCE IP,911 LINE,10/24/17,19:05,NO,YES,NO,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,,1,23,1,,,,,,,
B17-44093,2,WELFARE CHK IP,TELEPHONE,10/26/17,21:48,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,1,,19,1,,,,,,,
B17-44196,1,HARASSMENT IP,911 LINE,10/27/17,13:41,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,MENTIONED,NO,NO,1,,53,1,,,,,,,
B17-44317,5,TRESPASS IP,911 LINE,10/28/17,2:37,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,20,,1,,,,,,
B17-44437,5,WEAPONS IP,TELEPHONE,10/28/17,22:38,NO,NO,YES,NO,NO,NO,UNKNOWN ,YES,NO,ARRESTEE,NO,NO,,1,30,1,,,,,,,
B17-44475,2,FIGHT IP,TELEPHONE,10/29/17,1:54,NO,YES,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,20,1,,,,,,,
B17-44479,2,FIGHT IP,TELEPHONE,10/29/17,2:06,NO,YES,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,19,1,,,,,,,
B17-44701,1,TRAFFIC STOP,OFFICER REPORT,10/30/17,16:22,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,INVOLVED,NO,NO,3,,"45, 43, 52",3,,,,,,,
B17-44887,2,WARRANT SERVICE,OFFICER REPORT,10/31/17,20:25,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,24,1,,,,,,,
B17-44900,5,DISTURBANCE ,TELEPHONE,10/31/17,22:42,NO,YES,NO,NO,NO,YES,NORMAL,YES,NO,JUVENILE REFERRAL,NO,NO,,1,17,,,1,,,,,
B17-45156,3,DISTURBANCE IP ,TELEPHONE,11/2/17,18:49,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,33,1,,,,,,,
B17-45238,4,SERVICE IP,TELEPHONE,11/3/17,5:24,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,1,,34,1,,,,,,,
B17-45316,4,DOMESTIC IP,911 LINE,11/3/17,15:21,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,39,1,,,,,,,
B17-45773,5,WELFARE CHK IP,TELEPHONE,11/6/17,16:02,NO,YES,NO,NO,NO,YES,MENTALLY DISTURBED ,NO,NO,SUSPECT,YES,NO,,1,19,1,,,,,,,
B17-46025,5,ASSAULT NP,TELEPHONE,11/8/17,15:36,NO,YES,NO,NO,NO,YES,NORMAL,NO,NO,JUVENILE REFERRAL,YES,NO,,1,17,,,1,,,,,
B17-46139,3,THEFT IP,OFFICER REPORT,11/9/17,11:29,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,MENTIONED,NO,NO,,1,48,1,,,,,,,
B17-46713,5,FIGHT IP,TELEPHONE,11/13/17,21:20,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,29,,,1,,,,,
B17-46741,1,SERVICE IP,911 LINE,11/14/17,4:27,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,30,,,1,,,,,
B17-46749,4,WEAPONS IP,911 LINE,11/14/17,6:15,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,34,1,,,,,,,
B17-47005,3,WELFARE CHK IP,911 LINE,11/15/17,22:25,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,28,1,,,,,,,
B17-47594,4,SUSP ACT IP,TELEPHONE,11/20/17,6:17,NO,YES,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,37,1,,,,,,,
B17-48093,4,THEFT NP,TELEPHONE,11/24/17,14:16,NO,YES,NO,NO,NO,YES,NORMAL,NO,YES,JUVENILE REFERRAL,NO,NO,,1,17,,,1,,,,,
B17-48401,4,FOLLOW UP ,OFFICER REPORT,11/26/17,23:23,NO,YES,NO,NO,NO,YES,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,32,1,,,,,,,
B17-48858,2,DISTURBANCE IP,TELEPHONE,11/30/17,4:02,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,41,1,,,,,,,
B17-48970,4,WEAPONS IP,TELEPHONE,11/30/17,22:27,NO,NO,YES,NO,YES,NO,UNKNOWN,YES,NO,VICTIM,NO,NO,,1,35,1,,,,,,,
B17-49350,5,WARRANT SERVICE,911 LINE,12/3/17,12:24,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,,,,,
B17-49417,3,TRAFFIC STOP,OFFICER REPORT,12/3/17,22:41,NO,YES,NO,NO,NO,YES,NORMAL,YES,NO,ARRESTEE,YES,NO,,1,18,,,1,,,,,
B17-49442,4,MENTAL HEALTH,911 LINE,12/4/17,6:17,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,MENTIONED,NO,NO,,1,31,1,,,,,,,
B17-49684,4,DOMESTIC IP,TELEPHONE,12/5/17,21:42,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,14,,,1,,,,,
B17-49820,4,WELFARE CHK IP,TELEPHONE,12/6/17,20:20,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,52,1,,,,,,,
B17-49983,1,TRESPASS IP,TELEPHONE,12/7/17,22:17,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,24,,,1,,,,,
B17-50528,4,SERVICE IP ,911 LINE,12/11/17,20:48,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,YES,SUSPECT,NO,YES,,1,66,1,,,,,,,
B17-51465,4,SUSP ACT IP,OFFICER REPORT,12/18/17,18:19,YES,YES,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,26,1,,,,,,,
B17-51677,4,WARRANT SERVICE,TELEPHONE,12/20/17,1:10,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,28,1,,,,,,,
B17-51805,5,SUSP ACT IP,OFFICER REPORT,12/20/17,23:53,NO,YES,NO,NO,NO,YES,NORMAL,NO,YES,ARRESTEE,YES,NO,,1,41,1,,,,,,,
B17-51806,3,DOMESTIC IP,911 LINE,12/21/17,0:04,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,23,,,1,,,,,
B17-51988,3,ACCIDENT,911 LINE,12/22/17,12:34,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,38,1,,,,,,,
B17-52046,3,SERVICE IP ,TELEPHONE,12/22/17,21:29,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,,,1,,,,,
B17-52197,5,WEAPONS IP,911 LINE,12/24/17,9:18,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,1,,45,1,,,,,,,
